SiteFactID,SiteSourceID,Name,UDSNumber,Phone,Fax,AdminPhone,Site,Hours,MigrantHealth,CommunityHealth,SchoolBased,PublicHousing,Homeless,Address,City,State,ZIP,LocationSetting,LocationType,HealthCenterType,OperationalSchedule,OperatingCalendar,CountyFIPS,County,StateCountyFIPS,StateFIPS,State_Name,HHSRegion,BPHCAssignedNumber,SiteOpenDate,SiteAddtoScopeDate,lat,lon,filter_$
1174,9609FF54-012D-44E5-A7F8-6511BD1D2F71,PROCARE - COLLEY HOMES,04412J,256-546-9907,256-547-7506,256-492-0131,www.qolhs.org,40,Y,Y,N,N,N,420 N 6th St,Gadsden,AL,35901-3244,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,55,Etowah,1055,1,Alabama,Region IV,BPS-H80-002246,34335,34335,34.019718,-86.005806,1
1196,2BE093A1-245B-4B85-807E-345C53E4D4AD,THE FAMILY HEALTH CENTER,04013D,334-872-1966,334-872-0909,334-263-2301 x114,WWW.HSERVINC.ORG/LOCATIONS.HTM#1,40,N,Y,N,N,N,8578 Us Highway 80 W,Tyler,AL,36785-5422,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,85,Lowndes,1085,1,Alabama,Region IV,BPS-H80-001191,35827,35827,32.277897,-86.760587,1
1207,2F477CEF-4CED-4793-9053-B87CC5F20A4B,GEORGIANA MEDICAL CLINIC,04283H,334-376-0078,334-376-0144,251-578-1163,,40,N,Y,N,N,N,138 Jones St,Georgiana,AL,36033-4510,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,13,Butler,1013,1,Alabama,Region IV,BPS-H80-004059,37071,37071,31.636016,-86.744623,1
1228,3E4C06C8-5390-4721-AEAC-831223A3D273,Decatur Primary Care,04218N,256-353-0179,256-353-6723,256-381-3308,,40,N,Y,N,N,N,1304 13th Ave SE Ste F,Decatur,AL,35601-4359,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,103,Morgan,1103,1,Alabama,Region IV,BPS-H80-007653,36220,39630,34.587268,-86.97145,1
1256,652D2E97-9DFC-4D7A-87A4-C50015E25AE8,GILBERTOWN MEDICAL/DENTAL CENTER,04471H,251-843-5537,251-843-5354,251-434-8177,www.franklinprimary.org,50,Y,Y,N,Y,Y,140 Front St Ste 4,Gilbertown,AL,36908-5510,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,23,Choctaw,1023,1,Alabama,Region IV,BPS-H80-004367,37073,37073,31.877414,-88.322108,1
1398,3467CEDC-791B-4E8A-A1A4-B280F9D8A0E9,ALABAMA HEALTH CENTER,04196P,205-212-5600,205-212-5660,205-212-5600,www.biminghamhealthcare.org,40,N,Y,N,Y,Y,1600 20th St S,Birmingham,AL,35205-4998,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,73,Jefferson,1073,1,Alabama,Region IV,BPS-H80-003913,37622,37622,33.496743,-86.792769,1
1408,4298197A-72DF-43CC-97E0-AE09CE5E7933,MARKS VILLAGE HEALTH CENTER,04196B,205-212-5700,205-956-3715,205-212-5600,www.biminghamhealthcare.org,40,N,Y,N,Y,Y,7524 Georgia Rd,Birmingham,AL,35212-2946,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,73,Jefferson,1073,1,Alabama,Region IV,BPS-H80-003801,36900,36900,33.540682,-86.724816,1
1595,E2195EC8-89FD-4628-9841-542B1FCD17A1,ROBERTA O. WATTS MEDICAL CENTER,04412G,256-546-4606,256-547-8189,256-492-0131,www.qolhs.org,40,Y,Y,N,N,N,1020 Tuscaloosa Ave,Gadsden,AL,35901-3005,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,55,Etowah,1055,1,Alabama,Region IV,BPS-H80-001877,28500,28501,34.024019,-86.013185,1
1723,B97CDE24-95E0-4504-9AE0-36E1274D383F,MONTGOMERY PRIMARY CARE,04013B,334-293-6670,334-293-6676,334-263-2301 x114,WWW.HSERVINC.ORG/LOCATIONS.HTM#1,40,N,Y,N,N,N,3060 Mobile Hwy,Montgomery,AL,36108-4027,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,101,Montgomery,1101,1,Alabama,Region IV,BPS-H80-001237,34394,34394,32.348854,-86.338453,1
1907,315E3242-9C40-43D3-B0DA-4F14AB64860E,SOUTHERN RURAL HEALTH CARE CONSORTIUM INC.,42180,256-332-1631,256-332-4600,256-332-1631,,,N,Y,N,N,N,508 Saint Clair St SE,Russellville,AL,35653-2720,All Other Clinic Types,Permanent,Administrative,Full-Time,Year-Round,59,Franklin,1059,1,Alabama,Region IV,BPS-H80-001762,28185,28186,34.499063,-87.727424,1
2107,66EB93B6-2669-4D7D-84F6-2F674D2D4E96,BayouClinic Inc.,,,,251-824-4985,,,,,,,,13833 Tapia Ave,Bayou La Batre,AL,36509-2515,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,Unknown,Year-Round,97,Mobile,1097,1,Alabama,Region IV,BPS-LAL-010904,,40612,30.402902,-88.247768,1
2111,F67631E4-CD0D-4E40-AEAE-62E05B909E92,ROGERSVILLE FAMILY PRACTICE,04218B,256-247-3154 x0,256-247-7960,256-381-3308 x0,,40,N,Y,N,N,N,16410 Highway 72,Rogersville,AL,35652-8117,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,77,Lauderdale,1077,1,Alabama,Region IV,BPS-H80-002185,35977,35978,34.822806,-87.288839,1
2119,8CE522CD-7846-47EA-AEB2-667FA2B247D1,HURTSBORO MEDICAL CENTER,04016C,334-667-7734,334-667-7733,334-727-7050,www.cach-med.org,8,N,Y,N,N,N,242 Long St,Hurtsboro,AL,36860-2512,All Other Clinic Types,Permanent,Service Delivery Site,Part-Time,Year-Round,113,Russell,1113,1,Alabama,Region IV,BPS-H80-006442,27768,27768,32.23726,-85.414846,1
2131,073C7F63-1604-4E57-ACEA-848B2D29D41C,MEDICAL PLAZA/CORPORATE OFFICE,04196Q,205-212-5600,205-212-5660,205-212-5600,www.biminghamhealthcare.org,40,N,Y,N,Y,Y,1600 20th St S,Birmingham,AL,35205-4998,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,Full-Time,Year-Round,73,Jefferson,1073,1,Alabama,Region IV,BPS-H80-002925,37623,37623,33.496743,-86.792769,1
2186,D1050459-CCC9-4957-A737-02D3E122E5A0,Geneva Family Health Center,,334-684-8905,334-684-8908,334-670-6726,www.sarhaonline.com,40,Y,Y,N,N,N,100 W Lake Professional Park Ste 1,Geneva,AL,36340-1200,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,61,Geneva,1061,1,Alabama,Region IV,BPS-H80-010691,40756,40757,31.021214,-85.892219,1
2297,543C3A63-33A1-4E7D-92C4-616759DEF8BD,JAMES O. ELLIS HEALTH CENTER,04245H,205-752-1087,205-752-1097,205-349-3250,www.whatleyhealth.org,65,N,Y,N,N,Y,3532 Greensboro Ave,Tuscaloosa,AL,35401-7002,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,125,Tuscaloosa,1125,1,Alabama,Region IV,BPS-H80-002151,39415,39264,33.177922,-87.548501,1
2301,159E02F0-1C72-44A4-86DD-8B09B58F0875,ENSLEY HEALTH CENTER,04196S,205-212-5600,205-212-5660,205-212-5600,www.biminghamhealthcare.org,40,N,Y,N,Y,Y,1821 29th St,Ensley,AL,35218,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,Full-Time,Year-Round,73,Jefferson,1073,1,Alabama,Region IV,BPS-H80-006696,37995,37995,33.50046,-86.889459,1
2385,1AC49799-4EFD-464A-91D6-DC5A345DF369,ANNISTON QUALITY HEALTH CARE,04412I,256-236-0221,256-237-3146,256-492-0131,www.qolhs.org,40,Y,Y,N,N,N,1316 Noble St,Anniston,AL,36201-4643,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,15,Calhoun,1015,1,Alabama,Region IV,BPS-H80-004849,36892,36892,33.66177,-85.829757,1
2398,2F37C896-030E-4FF5-B594-9286238B7EFD,Capstone Rural Health Center,448530,205-686-5113,205-686-5145,205-686-5113,http://crhc.ua.edu,52,N,Y,N,N,N,5947 Highway 269,Parrish,AL,35580-3847,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,Full-Time,Year-Round,127,Walker,1127,1,Alabama,Region IV,BPS-H80-003226,39377,39428,33.744529,-87.269479,1
2632,F39DFAAD-B7BC-4207-8E1D-FC95C0746C40,HALE COUNTY HEALTH CENTER,04245D,334-624-7270,334-624-0872,205-349-3250 x3013,www.whatleyhealth.org,48,N,Y,N,N,Y,602 Centerville St,Greensboro,AL,36744-2120,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,65,Hale,1065,1,Alabama,Region IV,BPS-H80-005587,37135,37060,32.698942,-87.592165,1
2655,151E02FF-1017-4A49-BA80-32B3C9D33D5F,Hayneville Primary Care Center,,334-420-5001,334-548-2521,334-420-5001 x114,www.hservinc.org,40,N,Y,N,N,N,Hwy 21,Hayneville,AL,36040,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,85,Lowndes,1085,1,Alabama,Region IV,BPS-H80-008668,40298,39993,32.18403,-86.580384,1
2701,6486F45B-6CD7-419C-B44C-0D6EE29BF693,Maude L. Whatley Health Center,42450,205-758-6647,205-345-3993,205-349-3250,www.whatleyhealth.org,45,N,Y,N,N,Y,2731 Martin L King Jr Blvd,Tuscaloosa,AL,35401,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,125,Tuscaloosa,1125,1,Alabama,Region IV,BPS-H80-000345,31079,31079,33.187535,-87.577428,1
2707,EA6A5F46-3F17-4750-91A8-B3D53C479B90,RED LEVEL MEDICAL CENTER,04283B,334-469-5311,334-469-9211,251-578-1163,,40,N,Y,N,N,N,29080 Smiley St,Red Level,AL,36474-2226,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,39,Covington,1039,1,Alabama,Region IV,BPS-H80-003945,29891,29891,31.404481,-86.609676,1
2732,5425276A-AED8-424A-AA47-9344D28D4B9C,MOBILE MEDICAL VAN,04708H,251-690-8832,251-544-2122,251-690-8832,www.mobilecountyhealth.org,8,Y,Y,N,Y,N,251 N Bayou St,Mobile,AL,36603-5827,All Other Clinic Types,Mobile Van,Service Delivery Site,Part-Time,Seasonal,97,Mobile,1097,1,Alabama,Region IV,BPS-H80-006748,36923,36923,30.692193,-88.054611,1
2793,EDBD25E2-0B23-4624-9877-49CE4645EEB2,ECLECTIC FAMILY HEALTH CENTER,04013J,334-541-2116 x481,334-541-4977,334-263-2301 x114,WWW.HSERVINC.ORG/LOCATIONS.HTM#1,20,N,Y,N,N,N,26 Main St,Eclectic,AL,36024-5614,All Other Clinic Types,Permanent,Service Delivery Site,Part-Time,Year-Round,51,Elmore,1051,1,Alabama,Region IV,BPS-H80-006213,37043,37043,32.635985,-86.034917,1
2822,E844E995-895E-4B67-8254-45C29C79DB86,North Mobile Health Center,,251-690-8832,251-432-7443,251-690-8832,www.mobilecountyhealth.org,47.5,Y,Y,N,Y,N,Highway 43,Mount Vernon,AL,36650,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,97,Mobile,1097,1,Alabama,Region IV,BPS-H80-008618,40482,39993,31.146785,-88.010034,1
2823,8A0DED18-761A-416A-A364-10CB99FA8C8B,Family Health Care Clinic Inc.--Town Creek,,800-508-7481,601-825-8130,601-825-7280,familyhealthcareclinic@bellsouth.net,40,N,Y,N,N,N,1841 Al Highway 20,Town Creek,AL,35672-2500,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,79,Lawrence,1079,1,Alabama,Region IV,BPS-H80-009046,40101,40030,34.681476,-87.419707,1
2888,8616D559-9BE2-4B11-B2EA-22FE0D67AADB,Southside Family Health Center,,,,,,,N,Y,N,N,N,2611 Woodley Park Dr,Montgomery,AL,36116-3834,All Other Clinic Types,Permanent,Service Delivery Site,Unknown,Year-Round,101,Montgomery,1101,1,Alabama,Region IV,BPS-H80-008333,12/31/1899,39873,32.314951,-86.258533,1
3013,131B7C00-CDBD-4DED-8E0C-2ED588F02644,CHISHOLM FAMILY HEALTH CENTER,04013E,334-832-4338 x401,334-832-9971,334-263-2301 x114,WWW.HSERVINC.ORG/LOCATIONS.HTM#1,40,N,Y,N,N,N,100 E Vandiver Blvd,Montgomery,AL,36110-1812,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,101,Montgomery,1101,1,Alabama,Region IV,BPS-H80-001084,35339,35339,32.417563,-86.283883,1
3110,B1BA3DD1-FFB0-4B10-9701-14A83797ECD1,Wadley Cornerstone Clinic,,256-395-4157,256-395-6055,256-492-0131,www.qolhs.org,40,Y,Y,N,N,N,203 Tallapoosa St,Wadley,AL,36276,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,111,Randolph,1111,1,Alabama,Region IV,BPS-H80-008478,39904,39904,33.120387,-85.563488,1
3164,1B427716-E5CC-4A54-902F-DF4D897CE6C7,EIGHT MILE CLINIC,04708E,251-456-1399,251-456-0079,251-690-8832,www.mobilecountyhealth.org,47.5,Y,Y,N,Y,N,4547 Saint Stephens Rd,Eight Mile,AL,36613-3563,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,97,Mobile,1097,1,Alabama,Region IV,BPS-H80-004928,34912,34912,30.764275,-88.127848,1
3194,F365EE13-BAB3-4939-A6CC-D02901C3669F,W. T. SCRUGGS MEDICAL CENTER,04412D,205-589-6361,205-589-6365,256-492-0131,www.qolhs.org,40,Y,Y,N,N,N,4350 Cleveland Ave,Walnut Grove,AL,35990,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,55,Etowah,1055,1,Alabama,Region IV,BPS-H80-004605,34703,34703,34.066267,-86.301859,1
3317,886BFBED-795C-4276-BD43-78529A5D7AA2,River Region Health Center,,334-420-5001,334-264-4353,334-420-5001 x114,www.hservinc.org,70,N,Y,N,N,N,1863 Lake St,Montgomery,AL,36106,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,Full-Time,Year-Round,101,Montgomery,1101,1,Alabama,Region IV,BPS-H80-009267,40715,40156,32.370174,-86.28413,1
3515,9A7E8024-2104-4732-8DE2-82F2FD51877E,NORTHEAST ALABAMA HEALTH SERVICES INC. - SECTION,04571A,256-228-3471,256-228-7289,256-259-5313 x221,,40,N,Y,N,N,N,302 Main St S,Section,AL,35771-7006,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,71,Jackson,1071,1,Alabama,Region IV,BPS-H80-002889,29273,29273,34.58411,-85.988966,1
3579,D6BAE4A3-B8AD-459C-8267-55A7554C0BF1,Russellville Family Practice,04218E,256-332-7310,,256-381-3308,,40,N,Y,N,N,N,318 Coffee Ave,Russellville,AL,35653,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,59,Franklin,1059,1,Alabama,Region IV,BPS-H80-007571,36708,39630,34.506526,-87.728195,1
3666,CBDE6CFF-7697-4E83-AE50-F852109A644A,Northeast Regional Care Center,,256-237-2134,,256-492-0131,www.qolhs.org,50,Y,Y,N,N,N,309 E 8th St,Anniston,AL,36207-5731,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,15,Calhoun,1015,1,Alabama,Region IV,BPS-H80-009446,40330,40295,33.654448,-85.824414,1
3682,89199983-BB01-429F-BAD4-3EA93F814E5E,Family Health Care Clinic Inc.--Russellville,,800-508-7481,601-825-8130,601-825-7280,familyhealthcareclinic@bellsouth.net,40,N,Y,N,N,N,318 Coffee Ave,Russellville,AL,35653,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,59,Franklin,1059,1,Alabama,Region IV,BPS-H80-009047,40101,40030,34.506526,-87.728195,1
3889,AE3327E8-58B1-4662-97EC-1B6F941AC567,NIDA HOUSING UNITS #4,04196J,205-439-7201,205-458-3383,205-212-5600,www.biminghamhealthcare.org,40,N,Y,N,Y,Y,4116 43rd Ave N,Birmingham,AL,35217-3844,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,73,Jefferson,1073,1,Alabama,Region IV,BPS-H80-000633,36900,36900,33.564395,-86.776642,1
3901,155AD1F4-A078-40A6-A13E-8A9E0669DEE0,La Clinica de Baldwin/The Baldwin Clinic,421730,251-947-1083,251-947-1084,251-947-3305,,40,Y,N,N,N,N,1628 N McKenzie St Ste 102,Foley,AL,36535-2275,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,Full-Time,Year-Round,3,Baldwin,1003,1,Alabama,Region IV,BPS-H80-003050,39295,39295,30.426943,-87.683202,1
3906,0E433FC8-02A9-4FBE-8F25-DCE216157D57,CRESCENT EAST HEALTH CENTER,04245A,205-556-6042,205-556-5427,205-349-3250 x3013,www.whatleyhealth.org,12,N,Y,N,N,Y,120 51st Ave E Apt B,Tuscaloosa,AL,35404-5380,All Other Clinic Types,Permanent,Service Delivery Site,Part-Time,Year-Round,125,Tuscaloosa,1125,1,Alabama,Region IV,BPS-H80-007267,36465,36465,33.215174,-87.469444,1
3936,78D69B97-45B5-4863-9754-1DDC7169D867,MOBILE CO TRAINING SCHOOL CLINIC,04708C,251-456-2276,251-432-7443,251-690-8832,www.mobilecountyhealth.org,40,Y,Y,N,Y,N,800 Whitley St,Mobile,AL,36610-3318,School,Permanent,Service Delivery Site,Full-Time,Year-Round,97,Mobile,1097,1,Alabama,Region IV,BPS-H80-000698,34578,34578,30.738641,-88.057234,1
3975,38A9BC71-124F-493A-B462-5D83ECBF46D3,Family Health Care Clinic Inc. Decatur,,256-340-1251,,601-825-7280,,40,N,Y,N,N,N,1304 13th Ave SE Ste A,Decatur,AL,35601-4316,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,103,Morgan,1103,1,Alabama,Region IV,BPS-H80-009353,,40241,34.587268,-86.97145,1
